id,equipment,gifUrl,name,target,bodyPart,calories 12 reps (cals)
1,barbell,http://d205bpvrqc9yn1.cloudfront.net/0071.gif,barbell press sit-up,abs,waist,5
2,barbell,http://d205bpvrqc9yn1.cloudfront.net/0084.gif,barbell rollerout,abs,waist,5
3,barbell,http://d205bpvrqc9yn1.cloudfront.net/0094.gif,barbell seated twist,abs,waist,4
4,barbell,http://d205bpvrqc9yn1.cloudfront.net/0096.gif,barbell side bent v. 2,abs,waist,6
5,barbell,http://d205bpvrqc9yn1.cloudfront.net/2799.gif,barbell sitted alternate leg raise,abs,waist,5
6,barbell,http://d205bpvrqc9yn1.cloudfront.net/0103.gif,barbell standing ab rollerout,abs,waist,6
7,barbell,http://d205bpvrqc9yn1.cloudfront.net/0112.gif,barbell standing twist,abs,waist,6
8,body weight,http://d205bpvrqc9yn1.cloudfront.net/0001.gif,3/4 sit-up,abs,waist,5
9,body weight,http://d205bpvrqc9yn1.cloudfront.net/0003.gif,air bike,abs,waist,6
10,body weight,http://d205bpvrqc9yn1.cloudfront.net/0006.gif,alternate heel touchers,abs,waist,5
11,body weight,http://d205bpvrqc9yn1.cloudfront.net/3204.gif,arms overhead full sit-up (male),abs,waist,5
12,body weight,http://d205bpvrqc9yn1.cloudfront.net/0138.gif,bottoms-up,abs,waist,5
13,body weight,http://d205bpvrqc9yn1.cloudfront.net/2466.gif,bridge - mountain climber (cross body),abs,waist,5
14,body weight,http://d205bpvrqc9yn1.cloudfront.net/0870.gif,butt-ups,abs,waist,8
15,body weight,http://d205bpvrqc9yn1.cloudfront.net/0260.gif,cocoons,abs,waist,7
16,body weight,http://d205bpvrqc9yn1.cloudfront.net/1468.gif,crab twist toe touch,abs,waist,6
17,body weight,http://d205bpvrqc9yn1.cloudfront.net/0262.gif,cross body crunch,abs,waist,5
18,body weight,http://d205bpvrqc9yn1.cloudfront.net/0267.gif,crunch (hands overhead),abs,waist,5
19,body weight,http://d205bpvrqc9yn1.cloudfront.net/0274.gif,crunch floor,abs,waist,5
20,body weight,http://d205bpvrqc9yn1.cloudfront.net/3016.gif,curl-up,abs,waist,6
21,body weight,http://d205bpvrqc9yn1.cloudfront.net/0276.gif,dead bug,abs,waist,4
22,body weight,http://d205bpvrqc9yn1.cloudfront.net/0443.gif,elbow-to-knee,abs,waist,6
23,body weight,http://d205bpvrqc9yn1.cloudfront.net/0456.gif,flexion leg sit up (bent knee),abs,waist,5
